30
0,1,2
1,2,3
2,3,4
3,4,5
4,5,6
1,3,4
5,6,7
2,3,5
0,2,3
2,4,5
0,1,3
1,2,4
4,5,7
3,4,7
4,6,7
1,4,5
6,7,8
5,7,8
1,2,5
0,1,4
3,4,8
4,5,8
6,7,9
1,4,6
5,7,9
4,6,8
3,5,7
7,8,9
2,3,7
0,1,5
1,2,6
1,4,7
6,7,10
8,9,10
7,8,10
2,3,8
5,8,9
0,1,6
1,2,7
3,5,8
4,6,9
4,5,9
2,3,9
5,7,10
7,8,11
5,8,10
6,7,11
3,5,9
8,9,11
1,2,8
1,4,8
0,1,7
4,5,10
5,7,11
8,10,11
4,6,10
5,9,10
5,8,11
1,2,9
6,7,12
1,4,9
3,5,10
5,7,12
8,10,12
8,9,12
4,5,11
5,8,12
1,2,10
5,9,11
1,4,10
4,6,11
5,8,13
8,11,12
8,9,13
3,5,11
4,5,12
8,10,13
0,1,8
1,4,11
3,5,12
8,10,14
8,9,14
8,11,13
0,1,9
5,8,14
4,6,12
5,7,14
4,5,13
6,7,14
5,9,12
1,4,12
3,5,13
8,11,14
5,10,11
4,6,13
5,7,15
8,12,13
5,9,13
1,4,13
6,7,15
3,5,14
8,11,15
4,5,14
0,1,10
5,8,15
5,10,12
5,9,14
1,4,14
6,7,16
8,11,16
3,5,15
4,5,15
0,1,11
5,10,13
5,8,16
5,7,16
5,9,15
1,4,15
8,12,14
4,5,16
5,10,14
3,5,16
5,8,17
1,4,16
8,12,15
0,1,13
8,13,15
5,9,16
3,5,17
8,11,17
5,10,15
1,4,17
5,8,18
4,5,17
5,7,18
3,5,18
8,11,18
5,8,19
8,14,15
8,13,16
1,4,18
5,10,16
6,7,18
5,9,17
4,5,18
0,1,14
8,11,19
3,5,19
5,8,20
8,14,16
8,13,17
4,5,19
5,10,17
6,7,19
0,1,15
5,9,18
1,4,19
3,5,20
8,11,20
8,13,18
5,8,21
4,5,20
1,4,20
5,9,19
3,5,21
8,11,21
8,14,17
5,10,19
5,8,22
0,1,17
4,5,21
3,5,22
5,9,20
8,11,22
6,7,21
8,14,18
8,15,16
5,8,23
5,10,20
4,5,22
0,1,18
1,4,21
8,11,23
8,15,17
5,8,24
6,7,22
3,5,23
5,9,21
8,14,19
1,4,22
5,10,21
8,11,24
5,8,25
8,15,18
5,9,22
5,10,22
8,16,17
3,5,24
5,11,12
1,4,23
0,1,20
8,11,25
8,15,19
5,8,26
5,10,23
5,9,23
5,11,13
8,11,26
1,4,24
0,1,21
3,5,25
8,16,18
8,14,20
5,10,24
5,8,27
5,11,14
5,9,24
1,4,25
5,12,13
3,5,26
8,17,18
8,14,21
5,8,28
5,11,15
1,4,26
5,9,25
3,5,27
5,12,14
5,10,26
8,14,22
5,11,16
5,8,29
8,17,19
3,5,28
5,12,15
8,16,20
5,9,26
5,10,27
8,14,23
8,17,20
8,18,19
5,9,27
5,10,28
5,13,15
8,16,21
3,5,29
8,14,24
5,11,17
5,12,17
8,17,21
1,4,27
8,18,20
5,9,28
5,13,16
5,14,15
5,11,18
8,14,25
8,19,20
8,17,22
5,9,29
5,13,17
5,11,19
5,14,16
8,16,23
8,17,23
8,14,26
8,19,21
1,4,28
8,18,21
5,12,18
5,13,18
5,15,16
8,17,24
5,14,17
5,11,20
8,20,21
8,14,27
5,10,29
1,4,29
8,17,25
5,15,17
5,14,18
5,13,19
8,16,25
5,11,21
8,14,28
8,18,22
8,20,22
5,16,17
5,13,20
5,11,22
5,12,20
8,16,26
5,15,18
5,13,21
8,17,26
5,14,19
8,18,23
5,16,18
8,20,23
8,16,27
5,12,21
5,15,19
5,14,20
8,19,23
8,17,27
5,11,23
8,18,24
8,20,24
8,16,28
5,13,22
5,17,18
5,11,24
8,17,28
5,16,20
5,17,19
5,13,23
8,16,29
8,20,25
8,19,25
5,12,23
5,11,25
8,18,26
5,16,21
5,14,21
5,17,20
8,17,29
8,19,26
5,11,26
5,18,19
8,20,26
5,13,24
5,14,22
8,18,27
8,19,27
5,12,25
5,17,21
5,13,25
5,11,27
5,14,23
8,20,27
5,18,20
8,18,28
5,15,20
8,19,28
5,17,22
