au_authid,au_name,bo_bookid,bo_title,bo_publisher,bo_year,bo_month,bo_pages,bo_vol,bo_num,bo_loc,bo_class,bo_note,bo_annote,ic_collid,ic_title,ic_bktitle,ic_year,ic_month,ic_pages,ic_vol,ic_num,ic_loc,ic_class,ic_note,ic_annote,mi_miscid,mi_title,mi_howpub,mi_confloc,mi_year,mi_month,mi_pages,mi_vol,mi_num,mi_loc,mi_class,mi_note,mi_annote,ma_manid,ma_title,ma_org,ma_year,ma_month,ma_pages,ma_vol,ma_num,ma_loc,ma_class,ma_note,ma_annote,ip_inprocid,ip_title,ip_bktitle,ip_year,ip_month,ip_pages,ip_vol,ip_num,ip_loc,ip_class,ip_note,ip_annote,ar_articleid,ar_title,ar_journal,ar_year,ar_month,ar_pages,ar_vol,ar_num,ar_loc,ar_class,ar_note,ar_annote,tr_techid,tr_title,tr_inst,tr_year,tr_month,tr_pages,tr_vol,tr_num,tr_loc,tr_class,tr_note,tr_annote
"1","SMITH,Adam","book1","Granular computing : an introduction. ","Allyn & Bacon/Longman   ","2001","Oct","1946-1973","8","7","Washington DC","Database Systems","tcqbizldlwgty","gkngzflcbjisxxzq","inc1","Direct convex relaxations of sparse SVM.        ","Granular computing : an introduction. ","1994","Oct","976-978","1","20"," Nassau","Theory of Computation","rocfvba","erefietaeebazoiyl","misc01","Large scale RLSC learning without agony.        ","howpub01","Washington DC","1988","Jul","846-858","4","14","Washington DC","Computational Biology","iyzamhmwazbsbepfr","ieyxhokbvww","man01","Robust mixtures in the presence of measurement errors.        ","FIFF - Forum InformatikerInnen für Frieden und gesellschaftliche Verantwortung e.V. ","2001","Aug","1743-1744","3","10"," Nassau","Theory of Computation","eydepantrzbcyldlizzqgifxmbih","pzndrnaulredwtcpflu","InProc1","Symbolic state space of Stopwatch Petri nets with discrete-time semantics","Granular computing : an introduction. ","2008","JUN","307--321","4","14","Washington DC","Artificial Intelligence","wmcjefeqr","sivsugyomptnktkjkvgoybjxzwjiif","art1","A fast probabilistic Algorithm for Four-colouring Large Planar Graphs,","Illinois J. Math","1977","Sep","111-126","10","3"," Buenos Aires","Human Computer Interaction","qmxdhzogktmvidp","zlfkprqgwfbizfghxkkxiisyoy","tech01","Generating Rooted Triangulations Without Repetitions ","California Baptist University ","1983","Mar","1377-1390","10","19"," Nassau","Computer Graphics","atikfsxqqcpxbggmol","dpcgxygebkvrskxgfuzyhh"
"2","JOHNSON,Alexius","book2","The five-minute interview : a job hunter's guide to a successful interview. ","Annual Reviews    ","1996","Mar","1639-1643","19","17","Ottawa","Computer Graphics","zfaroig","gpcppqenzjhmhkm","inc2","Minimum reference set based feature selection for small sample classifications.        ","The five-minute interview : a job hunter's guide to a successful interview. ","1989","Feb","1352-1369","3","26"," Manama","Theoretical Computer Science","rhqqthv","fnxwgqbbvkylcstwlnnvgkngfkaburwdp","misc02","A novel orthogonal NMF based belief compression for POMDPs.        ","howpub02","Ottawa","1989","Sep","660-666","8","15","Ottawa","Computational Science","yelpljqnradtrunnqdhpmktu","appjpyhdxcoc","man02","A kernel based causal learning algorithm.        ","ALP - The Association of Logic Programming ","1994","Feb","878-888","4","23"," Manama","Computer Systems and Networks","aqntpeborftaiklk","brltfswrieayenfvlnzgwyw","InProc2","Behavior Diagrams Model-Checking: Formal Methods Applied to Systems Engineering and Design","The five-minute interview : a job hunter's guide to a successful interview. ","2008","APR","63-82","20","17","Ottawa","Bioinformatics","bekcmwmrkjvtxixjpxnfdyyohhgx","jedasktxljnordlr","art2","Analysis of two linear-Time Algorithms for Five-Coloring a","Proc. Fall 1986 Joint Computer Conference","1986","Apr","1363-1368","14","12"," Yerevan","Computational Biology","ijwgqmmgbxcfgbotjexwyo","xaambwjsz","tech02","Reverse Search for enumeration ","California College of the Arts ","2000","Nov","387-390","3","25"," Manama","Numerical Analysis","ffhutrrfqypzh","peflnxogdaajrlfslwhigfzzrfsyynw"
"3","WILLIAMS,Blasius","book3","Schaum's outline of UML. ","Bedford, Freeman & Worth","2000","Jul","1105-1108","7","20","Bejing","Programming Languages and Methodologies","twsbefnfnxxpedklygzmffvqflbfn","mxpxulwilsnuyltxe","inc3","Learning to compress images and videos.        ","Schaum's outline of UML. ","1999","Jan","908-911","28","9"," Dhaka","Computational Biology","knqlikgcqghztmxndygdctaoddvya","tgqklkpepo","misc03","A permutation augmented sampler for DP mixture models.        ","howpub03","Bejing","1994","May","1524-1528","6","8","Bejing","Distributed Informatics","yxaewwxv","wqrwziswqnnavujwaec","man03","Piecewise pseudolikelihood for efficient training of conditional random fields.        ","CSCSI - Canadian Society for Computational Studies of Intelligence ","1985","Dec","1250-1267","12","26"," Dhaka","Applied and Discrete Mathematics","nnmancuxjtnq","zrgfncdsdiimqynrsnrhcqwuaqin","InProc3","Usability and Usefulness of Formal Verification in a System Design Process","Schaum's outline of UML. ","2008","JUN","222-228","6","9","Bejing","Computational Science","iuctrgieegqpxwtpxdjcuruiclehiqu","cyetktgnhvmefrlgx","art3","Every planar map is four colorable,","Congr. Numer.","1981","Aug","1404-1418","3","7"," Canberra","Network and Software Security","cscgfeqiwrtxszfhwavwq","agsmf","tech03","Willy : un nouvel algorithme de coloration de graphes","California Institute of the Arts ","1991","Apr","1586-1598","7","23"," Dhaka","Theoretical Computer Science","ekwsjdamqeyrpyskywmhybazuciiemw","lzmbrnpslcwgmkpcehwnean"
"4","JONES,Carolus","book4","Microsoft Windows XP inside out.  ","Publishing Group     ","1990","Jul","1451-1458","13","3"," Kabul","Programming Languages and Methodologies","jmtuqzcaxdhymqgxglenvvqz","mvbmieeatvlobwhdzx","inc4","Magnitude preserving ranking algorithms.        ","Microsoft Windows XP inside out.  ","1994","Aug","1471-1482","6","16"," Bridgetown","Network and Software Security","nlmrvskxrzxvbvghtpqmnrmopqhue","anzqdrkxsizbiscsysp","misc04","Quadratically gated mixture of experts for incomplete data classification.        ","howpub04"," Kabul","1991","May","1284-1300","7","7"," Kabul","Programming Languages and Methodologies","qrzknhnzqdaggxrewdssjmhtqyphzdhx","wymsyojitnsihjyki","man04","On the role of tracking in stationary environments.        ","IJCAI - International Joint Committee on Artificial Intelligence (IJCAI-95) ","1996","Nov","1803-1818","13","14"," Bridgetown","Numerical Analysis","tqeftlhmqbylhwjvr","cyferkbf","InProc4","Synthesis of Non-Interferent Systems","Microsoft Windows XP inside out.  ","2007","SEP","33-38","4","76"," Kabul","Distributed Informatics","cowfyjplanpepwoifyfcpxlzk","vxtnutbajggprgmvarqjilubprhwt","art4","The solution of the Four-Color-Map Theorem,","Illinois J. Math","1977","Nov","622-636","28","11"," Vienna","Numerical Analysis","stmhpbmztzdwfduymdoghdesbbhmr","sbsjxmwnicugrnffglmx","tech04","Une d?onstration de la 4-coloration de certains","California Institute of Integral Studies ","1997","Nov","504-521","8","9"," Bridgetown","Applied and Discrete Mathematics","sapvrpajfovuhj","lcotpxrtdcokunwp"
"5","BROWN,Demetrius","book5","Computer systems : a programmer's perspective. ","Blackwell Publishing     ","1995","Aug","321-325","8","9"," Tirane","Parallel and Distributed Computing","qaooub","uagvfkfryoh","inc5","Full regularization path for sparse principal component analysis.        ","Computer systems : a programmer's perspective. ","1997","Mar","777-796","17","0"," Minsk","Applied and Discrete Mathematics","ixcrdtipdxyjeuzwhqgyril","vcvcy","misc05","Trust region Newton methods for large scale logistic regression.        ","howpub05"," Tirane","1990","Mar","339-343","2","25"," Tirane","Artificial Intelligence","wpdbhyuwwp","snvoiylzlldqfisd","man05","Cross domain transfer for reinforcement learning.        ","MAA - Mathematical Association of America ","1996","Sep","754-772","15","26"," Minsk","Computer Graphics","mtwmebtokwlnwewecydouahu","hrvvyhojglrpk","InProc5","Comparison of the expressiveness of Arc, Place and Transition Time Petri Nets","Computer systems : a programmer's perspective. ","2007","JUN","59--77","26","51"," Tirane","Human-Computer Interaction","fdwdpuogzyxsrqzgapytyfg","syrkxyqrcbkcxmpqzwdw","art5"," Isomorph free exhaustive generation,","University of Illinois","1977","Apr","533-541","8","4"," Baku","Applied and Discrete Mathematics","qksjbpgzvi","khcxuaapmkmzjlvm","tech05"," Maximal Planar Graphs Generation with minimum degree five","California Institute of Technology ","1995","Aug","700-716","22","9"," Minsk","Software Engineering","dxlxedidfqtssqbtvqtzhalplpgikbtwdc","uunbyzhwvvnl"
"6","DAVIS,Franciscus","book6","Schaum's outline of computer architecture.","Cengage Learning","1996","Jan","1898-1909","22","21"," Algiers","Theory of Computation","ommyltcvcbhrijycppkwsrbcy","irngksesrpydruvqfpbzpflvlgdkspjpe","inc6","Kernel selection forl semi supervised kernel machines.        ","Schaum's outline of computer architecture.","1999","Jul","1894-1912","28","13"," Brussels","Bioinformatics","vopkpewhrhvqyjphl","gyloetncbglgphblikdhaybndzkpfvbb","misc06","Relational clustering by symmetric convex coding.        ","howpub06"," Algiers","1986","Jun","447-465","2","23"," Algiers","Programming Languages and Software Engineering","cuapdvyl","cvkifgzxxckxb","man06","Incremental Bayesian networks for structure prediction.        ","ODMG - Object Database Management Group ","1995","Jun","1953-1963","7","23"," Brussels","Software Engineering","dkkmixquvfjyxz","uhhraievvzbxowdjbdwsmkzaeure","InProc6","Usability of formal verification on EFFBD models: Applying Petri nets to Systems Engineering issues","Schaum's outline of computer architecture.","2007","SEP","187--196","24","35"," Algiers","Network and Software Security","jegwkpsavwtfxmmvdphatywdrvxoz","tevsnbbahwijqfqmv","art6"," The four-colour theorem,","Sciences","1993","Feb","326-341","18","12"," Nassau","Computer Graphics","zwtpbqahmspqt","jexhlwcwccweqtggyjkadduisesxwo","tech06","Etude exp?imentale de g??ateurs de graphes","California Lutheran University ","1982","Dec","1648-1658","17","20"," Brussels","Programming Languages and Methodologies","cjxpzxshvxfxs","jlybzaxazsxdfpllydohwhemmgrxxqlkw"
"7","MILLER,Josepha","book7","Creating your own great DVDs & CDs : the official hp guide.   ","Elsevier      ","1984","Sep","1742-1759","18","21"," Andorra la Vella","Networking","gvgtvnxbbbezgifqjqu","odkkiwyarpqdtespdiaarcpuupjboq","inc7","Boosting for transfer learning.        ","Creating your own great DVDs & CDs : the official hp guide.   ","1992","Jul","1372-1380","3","1"," Belmopan","Numerical Analysis","trbzazwulehbxmlkpmmy","ibafnzfxqhdpcjyuqbvevantnkzyfwttqh","misc07","Discriminant analysis in correlation similarity measure space.        ","howpub07"," Andorra la Vella","1988","Jun","1140-1158","1","30"," Andorra la Vella","Theory of Computation","uiqjhaorenoxcccicicpadphapr","tibsjonzqlwakbwoin","man07","Classifying matrices with a spectral regularization.        ","Object-Orientation Ph.D. Network ","1983","May","1428-1434","8","15"," Belmopan","Universal Access","twfvlbwwfakaromukxgxzxxhbgnnhkybg","pkuyxgokszttbsanshwiiirch","InProc7","Safety Control Synthesis for Time Petri Nets.","Creating your own great DVDs & CDs : the official hp guide.   ","2006","JUL","371--390","5","29"," Andorra la Vella","Networking","pxgbxfjqvpmcfiu","swlsqclmcduinsvpiumdzyvjgdzdt","art7"," Efficiently four-coloring planar graphs,","preprint","1996","Dec","668-687","1","9"," Manama","Computer Systems and Networks","yetkhzwmvrsigqouadieqxijdvvrxs","ztjgzpwdwwrbnva","tech07"," Colorier les graphes ?degr?born?","California Pacific University ","1997","Mar","1947-1964","4","9"," Belmopan","Applied and Discrete Mathematics","nyxkvzobl","fivagccffrsmfl"
"8","WILSON,Leo","book8","Cellular neural networks and visual computing : foundation and applications.   ","Greenwood Publishing Group","2000","Sep","1946-1963","12","18"," Luanda","Human Computer Interaction","ujhkqgcauwtvbnoenb","ngyksobovppceyrgslhpdwbvw","inc8","Intractability and clustering with constraints.        ","Cellular neural networks and visual computing : foundation and applications.   ","1987","Jul","1714-1717","1","16"," Porto","Programming Languages and Methodologies","beeoukjqtbnsazuobai","dbxkqqafdujrovfmtakvoqt","misc08","Adaptive mesh compression in  D computer graphics using multiscale manifold learning.        ","howpub08"," Luanda","1990","Jan","1758-1773","1","16"," Luanda","Bioinformatics","tgrtpfg","afygezrdjkj","man08","Approximate maximum margin algorithms with rules controlled by the number of mistakes.        ","AAAI - American Association for Artificial Intelligence ","1988","Feb","1916-1928","8","5"," Porto","Human Computer Interaction","aimvtqlmmbmhbhfhcbyravsvzajcicrqhi","qnogkjdhgkgmpdffumznovyqdzqmpjx","InProc8","Decidability, expressivity and state-space computation of Stopwatch Petri nets with discrete-time semantics.","Cellular neural networks and visual computing : foundation and applications.   ","2006","JUL","124--133","5","60"," Luanda","Parallel and Distributed Computing ","sfvboguybgsulmjybbva","dhamtqd","art8"," Bounds on the Number of $\Gamma$-Operation Edge Substitutions","Soumis","1996","Dec","1965-1981","28","12"," Dhaka","Theoretical Computer Science","avljdhlmmxuzlfowhkexhsz","didomrtagm","tech08"," Wagner's Theorem et combinatorial enumeration of 3-polytopes","California State University System ","1990","May","1115-1132","3","17"," Porto","Computer Graphics","qnvzsvikqsqzngdxoynotn","xynzldpdxdeujs"
"9","MOORE,Lucas","book9","Automated theory formation in pure mathematics.   ","Guilford Publications     ","1999","Nov","443-452","9","3"," Saint John's","Bioinformatics","ntfmkurixntnbxuukgbhodxqlxudb","mujwkpxyzkblwcnraqqscufawu","inc9","Information theoretic metric learning.        ","Automated theory formation in pure mathematics.   ","1995","Sep","1384-1388","11","3"," Buenos Aires","Programming Languages and Software Engineering","ezxruhhqoh","idjqfzkshvwn","misc09","Simple, robust, scalable semi supervised learning via expectation regularization.        ","howpub09"," Saint John's","1987","Jul","902-917","9","8"," Saint John's","Bioinformatics","vwtqxxfcsaefglpjgdzsjcnbhd","aczwlimxdrkdtfdfjiw","man09","Simpler core vector machines with enclosing balls.        ","AAAI - American Association for Artificial Intelligence ","1986","Jun","552-564","11","25"," Buenos Aires","Programming Languages and Software Engineering","muedmifcvm","nwbecadrvqywuccecswvfpl","InProc9","When are timed automata weakly timed bisimilar to time Petri nets ","Automated theory formation in pure mathematics.   ","2005","DEC","193--202","22","55"," Saint John's","Programming Languages and Software Engineering ","oavteouxiwma","ooepoxjwoleymiemfobnlpgiv","art9"," Construction Properties of Plane Triangulations,","Soumis","1991","Sep","1876-1883","17","5"," Bridgetown","Database Systems","ubtrzdrkqswhxlybeyangeuygd","akzwwmychawzttunlnmwglayujsd","tech09"," Polyhedra of Small Order et Their Hamiltonian Properties","Denver Seminary ","1991","May","1823-1832","26","10"," Buenos Aires","Computational Biology","wcsxqpbjjhvxprvbgod","amiqgdjkfzcawnzmrsrzpcyjgkovuwfn"
"10","TAYLOR,Maximus","book10","Distributed systems : concepts and design.   ","Houghton Mifflin Company     ","1988","Jan","830-841","13","1"," Buenos Aires","Computational Biology","veyutiykeytlgjrm","lrimjjxtwkhhvlqrd","inc10","An integrated approach to feature invention and model construction for drug activity prediction.        ","Distributed systems : concepts and design.   ","1982","Sep","1181-1183","16","15"," Yerevan","Software Engineering","rojuwmhsvhiszywzyqujliutvazyrst","uzejhridhvkq","misc10","Automatic shaping and decomposition of reward functions.        ","howpub10"," Buenos Aires","1986","Mar","1261-1266","8","21"," Buenos Aires","Parallel and Distributed Computing","mjxnqxjeingblapgq","ljpdmdumtsck","man10","Entire regularization paths for graph data.        ","EATCS - European Association for Theoretical Computer Science ","1994","Aug","1780-1791","12","8"," Yerevan","Theory of Computation","epriqcnkireisnsjwfyoszojjwnwlptmes","aabkcjfnzminxn","InProc10","Non-interference control synthesis for security timed automata","Distributed systems : concepts and design.   ","2005","AUG","246--259","9","56"," Buenos Aires","Theoretical Computer Science ","tmkrimm","vsuceolzsrsedcvpgtddrsefwfxkwc","art10"," Map Colour Theorem,","Australian  of Combinatorics","1989","Aug","478-481","14","19"," Minsk","Software Engineering","gayktwvgdezajdk","dvkbreijzasettcd","tech10"," Nauty Users Guide","Fort Lewis College ","1994","Dec","1897-1908","28","6"," Yerevan","Artificial Intelligence","aigzahnlasemimggzqsarjtplnxnangnnm","atzzjymsndfzms"
